"","PreyUniprotAcc","diferEnsamb","Bait","PreyGeneName","MIST","SAINT_BFDR","AvgSpec","FoldChange","Uniprot Protein ID","Uniprot Protein Description","Uniprot Function","Structures (PDB)","Uniprot Function in Disease"
"46","P09884","ENSP00000368349","Nsp1","POLA1","0.981264591","0.0","3.33","33.33","DPOLA_HUMAN","DNA polymerase alpha catalytic subunit (EC 2.7.7.7) (DNA polymerase alpha catalytic subunit p180)"," Catalytic subunit of the DNA polymerase alpha complex (also known as the alpha DNA polymerase-primase complex) which plays an essential role in the initiation of DNA synthesis. During the S phase of the cell cycle, the DNA polymerase alpha complex (composed of a catalytic subunit POLA1, a regulatory subunit POLA2 and two primase subunits PRIM1 and PRIM2) is recruited to DNA at the replicative forks via direct interactions with MCM10 and WDHD1. The primase subunit of the polymerase alpha complex initiates DNA synthesis by oligomerising short RNA primers on both leading and lagging strands. These primers are initially extended by the polymerase alpha catalytic subunit and subsequently transferred to polymerase delta and polymerase epsilon for processive synthesis on the lagging and leading strand, respectively. The reason this transfer occurs is because the polymerase alpha has limited processivity and lacks intrinsic 3' exonuclease activity for proofreading error, and therefore is not well suited for replicating long complexes. In the cytosol, responsible for a substantial proportion of the physiological concentration of cytosolic RNA:DNA hybrids, which are necessary to prevent spontaneous activation of type I interferon responses (PubMed:27019227). {ECO:0000269|PubMed:27019227, ECO:0000269|PubMed:9518481}.","1K0P;1K18;1N5G;4Q5V;4QCL;4Y97;5EXR;5IUD;6AS7"," Pigmentary disorder, reticulate, with systemic manifestations, X-linked (PDR) [MIM:301220]: A X-linked recessive disorder characterized by recurrent infections and sterile inflammation in various organs. Diffuse skin hyperpigmentation with a distinctive reticulate pattern is universally evident by early childhood. This is later followed in many patients by hypohidrosis, corneal inflammation and scarring, enterocolitis that resembles inflammatory bowel disease, and recurrent urethral strictures. Melanin and amyloid deposition is present in the dermis. Affected males also have a characteristic facies with frontally upswept hair and flared eyebrows. Female carriers have only restricted pigmentary changes along Blaschko's lines. {ECO:0000269|PubMed:27019227}. Note=The disease is caused by mutations affecting the gene represented in this entry. XLPDR is caused by a recurrent intronic mutation that results in missplicing and reduced POLA1 expression. This leads to a decrease in cytosolic RNA:DNA hybrids and constitutive activation of type I interferon responses, but has no effect on cell replication. {ECO:0000269|PubMed:27019227}."
"47","P0C7P0","ENSP00000484950","Orf8","CISD3","0.760326153","0.0","4.0","40.0","CISD3_HUMAN","CDGSH iron-sulfur domain-containing protein 3, mitochondrial (MitoNEET-related protein 2) (Miner2) (Mitochondrial inner NEET protein) (MiNT)"," Can transfer its iron-sulfur clusters to the apoferrodoxins FDX1 and FDX2. Contributes to mitochondrial iron homeostasis and in maintaining normal levels of free iron and reactive oxygen species, and thereby contributes to normal mitochondrial function. {ECO:0000269|PubMed:29259115}.","6AVJ",NA
"48","P11233","ENSP00000005257","Nsp7","RALA","0.750366485","0.0","2.33","23.33","RALA_HUMAN","Ras-related protein Ral-A"," Multifunctional GTPase involved in a variety of cellular processes including gene expression, cell migration, cell proliferation, oncogenic transformation and membrane trafficking. Accomplishes its multiple functions by interacting with distinct downstream effectors. Acts as a GTP sensor for GTP-dependent exocytosis of dense core vesicles. The RALA-exocyst complex regulates integrin-dependent membrane raft exocytosis and growth signaling (PubMed:20005108). Key regulator of LPAR1 signaling and competes with GRK2 for binding to LPAR1 thus affecting the signaling properties of the receptor. Required for anchorage-independent proliferation of transformed cells (PubMed:19306925). During mitosis, supports the stabilization and elongation of the intracellular bridge between dividing cells. Cooperates with EXOC2 to recruit other components of the exocyst to the early midbody (PubMed:18756269). {ECO:0000269|PubMed:18756269, ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:20005108}.","1UAD;1ZC3;1ZC4;2A78;2A9K;2BOV",NA
"49","P11310","ENSP00000359878","M","ACADM","0.724348569","0.0","2.67","26.67","ACADM_HUMAN","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)"," Acyl-CoA dehydrogenase specific for acyl chain lengths of 4 to 16 that catalyzes the initial step of fatty acid beta-oxidation. Utilizes the electron transfer flavoprotein (ETF) as an electron acceptor to transfer electrons to the main mitochondrial respiratory chain via ETF-ubiquinone oxidoreductase (ETF dehydrogenase).","1EGC;1EGD;1EGE;1T9G;2A1T;4P13"," Acyl-CoA dehydrogenase medium-chain deficiency (ACADMD) [MIM:201450]: An inborn error of mitochondrial fatty acid beta-oxidation which causes fasting hypoglycemia, hepatic dysfunction and encephalopathy, often resulting in death in infancy. {ECO:0000269|PubMed:10767181, ECO:0000269|PubMed:11349232, ECO:0000269|PubMed:11409868, ECO:0000269|PubMed:11486912, ECO:0000269|PubMed:1363805, ECO:0000269|PubMed:1671131, ECO:0000269|PubMed:1684086, ECO:0000269|PubMed:1902818, ECO:0000269|PubMed:2251268, ECO:0000269|PubMed:2393404, ECO:0000269|PubMed:2394825, ECO:0000269|PubMed:7603790, ECO:0000269|PubMed:7929823, ECO:0000269|PubMed:8198141, ECO:0000269|PubMed:9158144, ECO:0000269|PubMed:9882619}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"50","P11940","ENSP00000430012","N","PABPC1","0.736635929","0.0","7.33","73.33","PABP1_HUMAN","Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)"," Binds the poly(A) tail of mRNA, including that of its own transcript, and regulates processes of mRNA metabolism such as pre-mRNA splicing and mRNA stability (PubMed:11051545, PubMed:17212783, PubMed:25480299). Its function in translational initiation regulation can either be enhanced by PAIP1 or repressed by PAIP2 (PubMed:11051545, PubMed:20573744). Can probably bind to cytoplasmic RNA sequences other than poly(A) in vivo. Involved in translationally coupled mRNA turnover (PubMed:11051545). Implicated with other RNA-binding proteins in the cytoplasmic deadenylation/translational and decay interplay of the FOS mRNA mediated by the major coding-region determinant of instability (mCRD) domain (PubMed:11051545). Involved in regulation of nonsense-mediated decay (NMD) of mRNAs containing premature stop codons; for the recognition of premature termination codons (PTC) and initiation of NMD a competitive interaction between UPF1 and PABPC1 with the ribosome-bound release factors is proposed (PubMed:18447585). By binding to long poly(A) tails, may protect them from uridylation by ZCCHC6/ZCCHC11 and hence contribute to mRNA stability (PubMed:25480299). {ECO:0000269|PubMed:11051545, ECO:0000269|PubMed:17212783, ECO:0000269|PubMed:18447585, ECO:0000269|PubMed:20573744, ECO:0000269|PubMed:25480299}.; FUNCTION: (Microbial infection) Positively regulates the replication of dengue virus (DENV). {ECO:0000269|PubMed:26735137}.","1CVJ;1G9L;1JGN;1JH4;2K8G;2RQG;2RQH;2X04;3KTP;3KTR;3KUI;3KUJ;3KUR;3KUS;3KUT;3PKN;3PTH;4F02;4F25;4F26;5DX1;5DX8;5DXA;5LGP;5LGQ;5LGR;5LGS",NA
"51","P12109","ENSP00000355180","Orf8","COL6A1","0.977300006","0.05","2.0","20.0","CO6A1_HUMAN","Collagen alpha-1(VI) chain"," Collagen VI acts as a cell-binding protein.",NA," Bethlem myopathy 1 (BTHLM1) [MIM:158810]: A benign proximal myopathy characterized by early childhood onset and joint contractures most frequently affecting the elbows and ankles. {ECO:0000269|PubMed:11865138, ECO:0000269|PubMed:15689448, ECO:0000269|PubMed:15955946, ECO:0000269|PubMed:8782832}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Ullrich congenital muscular dystrophy 1 (UCMD1) [MIM:254090]: A congenital myopathy characterized by muscle weakness and multiple joint contractures, generally noted at birth or early infancy. The clinical course is more severe than in Bethlem myopathy. {ECO:0000269|PubMed:15689448, ECO:0000269|PubMed:16130093, ECO:0000269|PubMed:17785674}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Note=A mutation in COL6A1 is the cause of autosomal recessive limb-girdle muscular dystrophy. The affected individual with a homozygous recessive COL6A1 mutation showed progressive muscle weakness with an onset at the age of 4 years and loss of ambulation at the age of 15 years. Muscle biopsy showed end stage dystrophy. {ECO:0000269|PubMed:30345904}."
"52","P12268","ENSP00000321584","Nsp14","IMPDH2","0.989667608","0.0","18.33","183.33","IMDH2_HUMAN","Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II)"," Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth. Could also have a single-stranded nucleic acid-binding activity and could play a role in RNA and/or DNA metabolism. It may also have a role in the development of malignancy and the growth progression of some tumors.","1B3O;1NF7;1NFB;6I0M;6I0O",NA
"53","P13804","ENSP00000452762","M","ETFA","0.718398295","0.0","2.33","23.33","ETFA_HUMAN","Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)"," Heterodimeric electron transfer flavoprotein that accepts electrons from several mitochondrial dehydrogenases, including acyl-CoA dehydrogenases, glutaryl-CoA and sarcosine dehydrogenase. It transfers the electrons to the main mitochondrial respiratory chain via ETF-ubiquinone oxidoreductase (ETF dehydrogenase). Required for normal mitochondrial fatty acid oxidation and normal amino acid metabolism.","1EFV;1T9G;2A1T;2A1U"," Glutaric aciduria 2A (GA2A) [MIM:231680]: An autosomal recessively inherited disorder of fatty acid, amino acid, and choline metabolism. It is characterized by multiple acyl-CoA dehydrogenase deficiencies resulting in large excretion not only of glutaric acid, but also of lactic, ethylmalonic, butyric, isobutyric, 2-methyl-butyric, and isovaleric acids. {ECO:0000269|PubMed:12815589, ECO:0000269|PubMed:1430199, ECO:0000269|PubMed:1882842, ECO:0000269|PubMed:9334218}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"54","P13861","ENSP00000265563","Nsp13","PRKAR2A","0.897857211","0.0","20.0","200.0","KAP2_HUMAN","cAMP-dependent protein kinase type II-alpha regulatory subunit"," Regulatory subunit of the cAMP-dependent protein kinases involved in cAMP signaling in cells. Type II regulatory chains mediate membrane association by binding to anchoring proteins, including the MAP2 kinase.","2IZX;2KYG;4ZP3;5H78;5XBY",NA
"55","P13984","ENSP00000340823","Nsp9","GTF2F2","0.877426938","0.0","14.0","140.0","T2FB_HUMAN","General transcription factor IIF subunit 2 (EC 3.6.4.12) (ATP-dependent helicase GTF2F2) (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)"," TFIIF is a general transcription initiation factor that binds to RNA polymerase II and helps to recruit it to the initiation complex in collaboration with TFIIB. It promotes transcription elongation. This subunit shows ATP-dependent DNA-helicase activity. {ECO:0000269|PubMed:2477704}.","1BBY;1F3U;2BBY;5IY6;5IY7;5IY8;5IY9;5IYA;5IYB;5IYC;5IYD;6O9L",NA
"56","P14735","ENSP00000360637","Nsp4","IDE","0.918031442","0.0","11.33","113.33","IDE_HUMAN","Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin)"," Plays a role in the cellular breakdown of insulin, APP peptides, IAPP peptides, glucagon, bradykinin, kallidin and other peptides, and thereby plays a role in intercellular peptide signaling (PubMed:2293021, PubMed:10684867, PubMed:26968463, PubMed:17051221, PubMed:17613531, PubMed:18986166, PubMed:19321446, PubMed:23922390, PubMed:24847884, PubMed:26394692, PubMed:29596046). Substrate binding induces important conformation changes, making it possible to bind and degrade larger substrates, such as insulin (PubMed:23922390, PubMed:26394692, PubMed:29596046). Contributes to the regulation of peptide hormone signaling cascades and regulation of blood glucose homeostasis via its role in the degradation of insulin, glucagon and IAPP (By similarity). Plays a role in the degradation and clearance of APP-derived amyloidogenic peptides that are secreted by neurons and microglia (PubMed:9830016, PubMed:26394692) (Probable). Involved in antigen processing. Produces both the N terminus and the C terminus of MAGEA3-derived antigenic peptide (EVDPIGHLY) that is presented to cytotoxic T lymphocytes by MHC class I. {ECO:0000250|UniProtKB:Q9JHR7, ECO:0000269|PubMed:10684867, ECO:0000269|PubMed:17051221, ECO:0000269|PubMed:17613531, ECO:0000269|PubMed:18986166, ECO:0000269|PubMed:19321446, ECO:0000269|PubMed:20364150, ECO:0000269|PubMed:2293021, ECO:0000269|PubMed:23922390, ECO:0000269|PubMed:24847884, ECO:0000269|PubMed:26394692, ECO:0000269|PubMed:26968463, ECO:0000269|PubMed:29596046, ECO:0000269|PubMed:9830016, ECO:0000305|PubMed:23922390}.; FUNCTION: (Microbial infection) The membrane-associated isoform acts as an entry receptor for varicella-zoster virus (VZV). {ECO:0000269|PubMed:17055432, ECO:0000269|PubMed:17553876}.","2G47;2G48;2G49;2G54;2G56;2JBU;2JG4;2WBY;2WC0;2WK3;2YPU;3CWW;3E4A;3E4Z;3E50;3H44;3HGZ;3N56;3N57;3OFI;3QZ2;4DTT;4DWK;4GS8;4GSC;4GSF;4IFH;4IOF;4LTE;4M1C;4NXO;4PES;4PF7;4PF9;4PFC;4QIA;4RAL;4RE9;5CJO;5UOE;5WOB;6B3Q;6B70;6B7Y;6B7Z;6BF6;6BF7;6BF8;6BF9;6BFC;6BYZ;6EDS;6MQ3",NA
"57","P15151","ENSP00000340870","Orf8","PVR","0.991893926","0.0","4.0","40.0","PVR_HUMAN","Poliovirus receptor (Nectin-like protein 5) (NECL-5) (CD antigen CD155)"," Mediates NK cell adhesion and triggers NK cell effector functions. Binds two different NK cell receptors: CD96 and CD226. These interactions accumulates at the cell-cell contact site, leading to the formation of a mature immunological synapse between NK cell and target cell. This may trigger adhesion and secretion of lytic granules and IFN-gamma and activate cytoxicity of activated NK cells. May also promote NK cell-target cell modular exchange, and PVR transfer to the NK cell. This transfer is more important in some tumor cells expressing a lot of PVR, and may trigger fratricide NK cell activation, providing tumors with a mechanism of immunoevasion. Plays a role in mediating tumor cell invasion and migration. {ECO:0000269|PubMed:15471548, ECO:0000269|PubMed:15607800}.; FUNCTION: (Microbial infection) Acts as a receptor for poliovirus. May play a role in axonal transport of poliovirus, by targeting virion-PVR-containing endocytic vesicles to the microtubular network through interaction with DYNLT1. This interaction would drive the virus-containing vesicle to the axonal retrograde transport. {ECO:0000269|PubMed:2538245}.; FUNCTION: (Microbial infection) Acts as a receptor for Pseudorabies virus. {ECO:0000269|PubMed:9616127}.; FUNCTION: (Microbial infection) Is prevented to reach cell surface upon infection by Human cytomegalovirus /HHV-5, presumably to escape immune recognition of infected cell by NK cells. {ECO:0000269|PubMed:15640804}.","1DGI;1NN8;3EPC;3EPD;3EPF;3J8F;3J9F;3UDW;3URO;4FQP;6ARQ;6ISC;6O3O",NA
"58","P16435","ENSP00000395813","Nsp2","POR","0.710961769","0.0","3.33","33.33","NCPR_HUMAN","NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)"," This enzyme is required for electron transfer from NADP to cytochrome P450 in microsomes. It can also provide electron transfer to heme oxygenase and cytochrome B5. {ECO:0000255|HAMAP-Rule:MF_03212}.","1B1C;3FJO;3QE2;3QFC;3QFR;3QFS;3QFT;5EMN;5FA6"," Antley-Bixler syndrome, with genital anomalies and disordered steroidogenesis (ABS1) [MIM:201750]: A disease characterized by the association of Antley-Bixler syndrome with steroidogenesis defects and abnormal genitalia. Antley-Bixler syndrome is characterized by craniosynostosis, radiohumeral synostosis present from the perinatal period, midface hypoplasia, choanal stenosis or atresia, femoral bowing and multiple joint contractures. {ECO:0000269|PubMed:14758361, ECO:0000269|PubMed:15264278, ECO:0000269|PubMed:15483095}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Disordered steroidogenesis due to cytochrome P450 oxidoreductase deficiency (DISPORD) [MIM:613571]: A disorder resulting in a rare variant of congenital adrenal hyperplasia, with apparent combined P450C17 and P450C21 deficiency and accumulation of steroid metabolites. Affected girls are born with ambiguous genitalia, but their circulating androgens are low and virilization does not progress. Conversely, affected boys are sometimes born undermasculinized. Boys and girls can present with bone malformations, in some cases resembling the pattern seen in patients with Antley-Bixler syndrome. {ECO:0000269|PubMed:14758361, ECO:0000269|PubMed:15220035}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"59","P17612","ENSP00000499940","Nsp13","PRKACA","0.880321174","0.0","5.33","53.33","KAPCA_HUMAN","cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)"," Phosphorylates a large number of substrates in the cytoplasm and the nucleus. Regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subunits, leading to their subsequent proteolysis. Phosphorylates CDC25B, ABL1, NFKB1, CLDN3, PSMC5/RPT6, PJA2, RYR2, RORA and VASP. RORA is activated by phosphorylation. Required for glucose-mediated adipogenic differentiation increase and osteogenic differentiation inhibition from osteoblasts. Involved in the regulation of platelets in response to thrombin and collagen; maintains circulating platelets in a resting state by phosphorylating proteins in numerous platelet inhibitory pathways when in complex with NF-kappa-B (NFKB1 and NFKB2) and I-kappa-B-alpha (NFKBIA), but thrombin and collagen disrupt these complexes and free active PRKACA stimulates platelets and leads to platelet aggregation by phosphorylating VASP. Prevents the antiproliferative and anti-invasive effects of alpha-difluoromethylornithine in breast cancer cells when activated. RYR2 channel activity is potentiated by phosphorylation in presence of luminal Ca(2+), leading to reduced amplitude and increased frequency of store overload-induced Ca(2+) release (SOICR) characterized by an increased rate of Ca(2+) release and propagation velocity of spontaneous Ca(2+) waves, despite reduced wave amplitude and resting cytosolic Ca(2+). PSMC5/RPT6 activation by phosphorylation stimulates proteasome. Negatively regulates tight junctions (TJs) in ovarian cancer cells via CLDN3 phosphorylation. NFKB1 phosphorylation promotes NF-kappa-B p50-p50 DNA binding. Involved in embryonic development by down-regulating the Hedgehog (Hh) signaling pathway that determines embryo pattern formation and morphogenesis. Prevents meiosis resumption in prophase-arrested oocytes via CDC25B inactivation by phosphorylation. May also regulate rapid eye movement (REM) sleep in the pedunculopontine tegmental (PPT). Phosphorylates APOBEC3G and AICDA. Isoform 2 phosphorylates and activates ABL1 in sperm flagellum to promote spermatozoa capacitation. Phosphorylates HSF1; this phosphorylation promotes HSF1 nuclear localization and transcriptional activity upon heat shock (PubMed:21085490). {ECO:0000269|PubMed:15642694, ECO:0000269|PubMed:15905176, ECO:0000269|PubMed:16387847, ECO:0000269|PubMed:17333334, ECO:0000269|PubMed:17565987, ECO:0000269|PubMed:17693412, ECO:0000269|PubMed:18836454, ECO:0000269|PubMed:19949837, ECO:0000269|PubMed:20356841, ECO:0000269|PubMed:21085490, ECO:0000269|PubMed:21423175, ECO:0000269|PubMed:21514275, ECO:0000269|PubMed:21812984}.","2GU8;3AGL;3AGM;3AMA;3AMB;3L9L;3L9M;3L9N;3MVJ;3NX8;3OOG;3OVV;3OWP;3OXT;3P0M;3POO;3VQH;4AE6;4AE9;4UJ1;4UJ2;4UJ9;4UJA;4UJB;4WB5;4WB6;4WB7;4WB8;5BX6;5BX7;5IZF;5IZJ;5J5X;5N23;5UZK;6BYR;6BYS;6C0U;6FRX;6NO7"," Primary pigmented nodular adrenocortical disease 4 (PPNAD4) [MIM:615830]: A rare bilateral adrenal defect causing ACTH-independent Cushing syndrome. Macroscopic appearance of the adrenals is characteristic with small pigmented micronodules observed in the cortex. Adrenal glands show overall normal size and weight, and multiple small yellow-to-dark brown nodules surrounded by a cortex with a uniform appearance. Microscopically, there are moderate diffuse cortical hyperplasia with mostly nonpigmented nodules, multiple capsular deficits and massive circumscribed and infiltrating extra-adrenal cortical excrescences with micronodules. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes. {ECO:0000269|PubMed:24571724, ECO:0000269|PubMed:24700472, ECO:0000269|PubMed:24747643, ECO:0000269|PubMed:24855271}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"60","P19784","ENSP00000262506","N","CSNK2A2","0.875048268","0.0","7.0","70.0","CSK22_HUMAN","Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)"," Catalytic subunit of a constitutively active serine/threonine-protein kinase complex that phosphorylates a large number of substrates containing acidic residues C-terminal to the phosphorylated serine or threonine. Regulates numerous cellular processes, such as cell cycle progression, apoptosis and transcription, as well as viral infection. May act as a regulatory node which integrates and coordinates numerous signals leading to an appropriate cellular response. During mitosis, functions as a component of the p53/TP53-dependent spindle assembly checkpoint (SAC) that maintains cyclin-B-CDK1 activity and G2 arrest in response to spindle damage. Also required for p53/TP53-mediated apoptosis, phosphorylating 'Ser-392' of p53/TP53 following UV irradiation. Can also negatively regulate apoptosis. Phosphorylates the caspases CASP9 and CASP2 and the apoptotic regulator NOL3. Phosphorylation protects CASP9 from cleavage and activation by CASP8, and inhibits the dimerization of CASP2 and activation of CASP8. Regulates transcription by direct phosphorylation of RNA polymerases I, II, III and IV. Also phosphorylates and regulates numerous transcription factors including NF-kappa-B, STAT1, CREB1, IRF1, IRF2, ATF1, SRF, MAX, JUN, FOS, MYC and MYB. Phosphorylates Hsp90 and its co-chaperones FKBP4 and CDC37, which is essential for chaperone function. Regulates Wnt signaling by phosphorylating CTNNB1 and the transcription factor LEF1. Acts as an ectokinase that phosphorylates several extracellular proteins. During viral infection, phosphorylates various proteins involved in the viral life cycles of EBV, HSV, HBV, HCV, HIV, CMV and HPV. {ECO:0000269|PubMed:11239457, ECO:0000269|PubMed:11704824, ECO:0000269|PubMed:16193064}.","3E3B;3OFM;3U87;5M4U;5M56;5OOI;5Y9M;5YF9;5YWM;6HMB;6HMC;6HMD;6HMQ;6QY9",NA
"61","P21964","ENSP00000503719","Nsp7","COMT","0.745231765","0.04","2.0","20.0","COMT_HUMAN","Catechol O-methyltransferase (EC 2.1.1.6)"," Catalyzes the O-methylation, and thereby the inactivation, of catecholamine neurotransmitters and catechol hormones. Also shortens the biological half-lives of certain neuroactive drugs, like L-DOPA, alpha-methyl DOPA and isoproterenol. {ECO:0000269|PubMed:21846718}.","3A7E;3BWM;3BWY;4PYI;4PYJ;4PYK;4XUC;4XUD;4XUE;5LSA;6I3C;6I3D"," Schizophrenia (SCZD) [MIM:181500]: A complex, multifactorial psychotic disorder or group of disorders characterized by disturbances in the form and content of thought (e.g. delusions, hallucinations), in mood (e.g. inappropriate affect), in sense of self and relationship to the external world (e.g. loss of ego boundaries, withdrawal), and in behavior (e.g bizarre or apparently purposeless behavior). Although it affects emotions, it is distinguished from mood disorders in which such disturbances are primary. Similarly, there may be mild impairment of cognitive function, and it is distinguished from the dementias in which disturbed cognitive function is considered primary. Some patients manifest schizophrenic as well as bipolar disorder symptoms and are often given the diagnosis of schizoaffective disorder. {ECO:0000269|PubMed:15645182}. Note=Disease susceptibility may be associated with variations affecting the gene represented in this entry."
"62","P25440","ENSP00000391246","E","BRD2","0.906592876","0.0","7.0","70.0","BRD2_HUMAN","Bromodomain-containing protein 2 (O27.1.1) (Really interesting new gene 3 protein)"," May play a role in spermatogenesis or folliculogenesis (By similarity). Binds hyperacetylated chromatin and plays a role in the regulation of transcription, probably by chromatin remodeling. Regulates transcription of the CCND1 gene. Plays a role in nucleosome assembly. {ECO:0000250, ECO:0000269|PubMed:18406326}.","1X0J;2DVQ;2DVR;2DVS;2DVV;2E3K;2G4A;2YDW;2YEK;3AQA;3ONI;4A9E;4A9F;4A9H;4A9I;4A9J;4A9M;4A9N;4A9O;4AKN;4ALG;4ALH;4J1P;4MR5;4MR6;4QEU;4QEV;4QEW;4UYF;4UYG;4UYH;5BT5;5DFB;5DFC;5DFD;5DW1;5EK9;5HEL;5HEM;5HEN;5HFQ;5IBN;5IG6;5N2L;5O38;5O39;5O3A;5O3B;5O3C;5O3D;5O3E;5O3F;5O3G;5O3H;5O3I;5U5S;5U6V;5UEW;5XHE;5XHK;6CUI;6DB0;6DBC;6DDI;6DDJ;6E6J;6FFE;6FFF;6FFG;6I80;6I81;6K04;6K05;6MO7;6MO8;6MO9;6MOA",NA
"63","P26358","ENSP00000352516","Orf8","DNMT1","0.795844505","0.0","8.0","80.0","DNMT1_HUMAN","DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)"," Methylates CpG residues. Preferentially methylates hemimethylated DNA. Associates with DNA replication sites in S phase maintaining the methylation pattern in the newly synthesized strand, that is essential for epigenetic inheritance. Associates with chromatin during G2 and M phases to maintain DNA methylation independently of replication. It is responsible for maintaining methylation patterns established in development. DNA methylation is coordinated with methylation of histones. Mediates transcriptional repression by direct binding to HDAC2. In association with DNMT3B and via the recruitment of CTCFL/BORIS, involved in activation of BAG1 gene expression by modulating dimethylation of promoter histone H3 at H3K4 and H3K9. Probably forms a corepressor complex required for activated KRAS-mediated promoter hypermethylation and transcriptional silencing of tumor suppressor genes (TSGs) or other tumor-related genes in colorectal cancer (CRC) cells (PubMed:24623306). Also required to maintain a transcriptionally repressive state of genes in undifferentiated embryonic stem cells (ESCs) (PubMed:24623306). Associates at promoter regions of tumor suppressor genes (TSGs) leading to their gene silencing (PubMed:24623306). Promotes tumor growth (PubMed:24623306). {ECO:0000269|PubMed:16357870, ECO:0000269|PubMed:18413740, ECO:0000269|PubMed:18754681, ECO:0000269|PubMed:24623306}.","3EPZ;3PTA;3SWR;4WXX;4YOC;4Z96;4Z97;5WVO;5YDR"," Neuropathy, hereditary sensory, 1E (HSN1E) [MIM:614116]: A neurodegenerative disorder characterized by adult onset of progressive peripheral sensory loss associated with progressive hearing impairment and early-onset dementia. {ECO:0000269|PubMed:21532572}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant (ADCADN) [MIM:604121]: An autosomal dominant neurologic disorder characterized by adult onset of progressive cerebellar ataxia, narcolepsy, cataplexy, sensorineural deafness, and dementia. More variable features include optic atrophy, sensory neuropathy, psychosis, and depression. {ECO:0000269|PubMed:22328086}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"64","P27105","ENSP00000286713","M","STOM","0.752971772","0.0","3.0","30.0","STOM_HUMAN","Erythrocyte band 7 integral membrane protein (Protein 7.2b) (Stomatin)"," Regulates ion channel activity and transmembrane ion transport. Regulates ASIC2 and ASIC3 channel activity.",NA,NA
"65","P27448","ENSP00000402104","Orf9b","MARK3","0.993959488","0.0","14.67","146.67","MARK3_HUMAN","MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)"," Serine/threonine-protein kinase (PubMed:23666762). Involved in the specific phosphorylation of microtubule-associated proteins for MAP2 and MAP4. Phosphorylates the microtubule-associated protein MAPT/TAU (PubMed:23666762). Phosphorylates CDC25C on 'Ser-216'. Regulates localization and activity of some histone deacetylases by mediating phosphorylation of HDAC7, promoting subsequent interaction between HDAC7 and 14-3-3 and export from the nucleus (PubMed:16980613). Negatively regulates the Hippo signaling pathway and antagonizes the phosphorylation of LATS1. Cooperates with DLG5 to inhibit the kinase activity of STK3/MST2 toward LATS1 (PubMed:28087714). {ECO:0000269|PubMed:16980613, ECO:0000269|PubMed:23666762, ECO:0000269|PubMed:28087714}.","2QNJ;3FE3"," Visual impairment and progressive phthisis bulbi (VIPB) [MIM:618283]: An autosomal recessive, progressive disease characterized by poor vision at birth and development of bilateral phthisis bulbi by adulthood. {ECO:0000269|PubMed:29771303}. Note=The disease may be caused by mutations affecting the gene represented in this entry."
